objectid;title;identifier;description;filename;format;type;date;subject
OT041;Kop;OT041-kom-met-handvat;Kop van bruin aardewerk. De kop is van binnen geglazuurd. Otten collectie. Datering 1650-1700.;OT041-kom-met-handvat.jpg;image/jpeg;Aardewerk;1650-1700;Eet- en drinkgerei
OT016;Kop;OT016-kop;Kop met oor en aan de buitenkant versierd met zogenaamd slibversiering. Met staande voet. Datering 1700-1750. Bron: Schans op de grens blz. 192 afb. 82. Otten collectie.;OT016-kop.jpg;image/jpeg;Aardewerk;1700-1750;Eet- en drinkgerei
OT019;Kwispedoor;OT019-kwispedoor;Een wit gebakken kwispedoor. Gemaakt in Maastricht door Societe Ceramique. Datering 1836 - 1958. Otten collectie.;OT019-kwispedoor.jpg;image/jpeg;Aardewerk;1836 - 1958;Genotmiddellen
OT018;Bakpan ;OT018-bakpan-met-deel-handvat;Rood gebakken platte, grote bakpan. Deel van de steel nog aanwezig. Onderkant vertoond baksporen en is zwart gekleurd. In het mdden vooraan een schenktuit. Otten collectie. Datering 18e eeuw.;OT018-bakpan-met-deel-handvat.jpg;image/jpeg;Aardewerk;18e eeuw;Bereiding- en kookgerei
OT020;Kandelaar;OT020-kandelaar;Kandelaar. Rood gebakken. Otten collectie. Bron:  Ceramics blz. 230 afbeelding 668. Datering circa 1650.;OT020-kandelaar.jpg;image/jpeg;Aardewerk;1650;Verlichting
OT047;Bord;OT047-chinees-imitatie-bord;Wit gebakken bord schotel met blauwe versiering. Versiering is Chinees imitatie aardewerk. ;OT047-chinees-imitatie-bord.jpg;image/jpeg;Aardewerk;Onbekend;Decoratie
OT011;Vuurtest;OT011-vuurtest;Vuurtest. Roodgebakken. Otten collectie. Datering 18e eeuw.;OT011-vuurtest.jpg;image/jpeg;Aardewerk;18e eeuw;Huishoudelijk artikel
OT023;Kom;OT023-grape;Kom met oor en aan de buitenkant versierd met zogenaamde ringeloor versiering. Van binnen grotendeels geel gekleurd. Otten collectie. Boek Schans op de grens blz 192 afbeelding 82. Datering 1700 - 1750.;OT023-grape.jpg;image/jpeg;Aardewerk;1700 - 1750;Eet- en drinkgerei
OT033;Grape;OT033-rondvormige-grape;Ronde grape met een oor en links een schenktuit. Nederlands fabrikaat. Otten collectie. Datering 1625- 1700. Bron Ceramics blz. 218 afbeelding 593.;OT033-rondvormige-grape.jpg;image/jpeg;Aardewerk;1625- 1700;Eet- en drinkgerei
OT043;Grape;OT043-grape;Rood gebakken grape met een oor. Deels zwart gekleurd. Otten collectie. Datering 16e eeuws.;OT043-grape.jpg;image/jpeg;Aardewerk;16e eeuw;Bereiding- en kookgerei
OT022;Kom;OT022-kop-met-oor;Kom met gele ringeloor versiering. Rood gebakken. Otten collectie. Bron: Schans op de grens blz. 192 afbeelding 82. Datering 1700 - 1750. ;OT022-kop-met-oor.jpg;image/jpeg;Aardewerk;1700 - 1750;Eet- en drinkgerei
OT027;Kom met 2 oren;OT027-grote-aardewerken-pot;Grote roodbakken kom met twee oren. Rand is beschadigd. Otten collectie. Datering 1750 - 1800.;OT027-grote-aardewerken-pot.jpg;image/jpeg;Aardewerk;1750 - 1800;Opslag voorraad en transport
OT017;Kookpot miniatuur;OT017-vuurtest-met-steel;Een kookpot miniatuur met deel van de steel. Otten collectie. Datering 17e eeuws. Ceramics blz 275 afbeelding 894.;OT017-vuurtest-met-steel.jpg;image/jpeg;Aardewerk;17e eeuw;Bereiding- en kookgerei
OT054;Deksel;OT054-deksel;Bruin gebakken en geglazuurde ronde deksel met knop. Otten collectie. Datering onbekend.;OT054-deksel.jpg;image/jpeg;Aardewerk;Onbekend;Opslag voorraad en transport
